Kudryavtsev Vsevolod Rostislavovich
Nosov Alfred Eduardovich
Sukhanov Karl Alekseyevich
Kirillov Aleksey Gordeyevich
Denisov Makar Kirillovich
Yakushev Artem Yakunovich
Maksimov Moisey Dmitriyevich
Sharapov Kliment Valer'yevich
Nikitin Veloriy Melorovich
Vlasov Oleg Melorovich
Gordeyev Aristarkh Arsen'yevich
Zakharov Maksim Potrovich
Afanas'yev Nazariy Fedoseyevich
Timofeyev Artur Oskarovich
Savin Arseniy Yakunovich
Polyakov Ovidiy Vital'yevich
Bobrov Sergey Konstantinovich
Timofeyev David Sergeyevich
Stepanov Denis Yakunovich
Teterin Mikhail Aleksandrovich
